object_threshold,text_threshold,map_50_val,map_50_95_val,map_50_test,map_50_95_test
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.1,0.4965212345123291,0.3973078727722168,0.3380756080150604,0.2680675983428955
0.0,0.2,0.4832930564880371,0.41416412591934204,0.2693179249763489,0.22203850746154785
0.0,0.30000000000000004,0.4052095115184784,0.33361324667930603,0.2836633622646332,0.2536468505859375
0.0,0.4,0.3692818582057953,0.2995905876159668,0.15016502141952515,0.12518151104450226
0.0,0.5,0.15515728294849396,0.1390274465084076,0.03333333507180214,0.029999999329447746
0.0,0.6000000000000001,0.06968291848897934,0.062087979167699814,0.03333333507180214,0.029999999329447746
0.0,0.7000000000000001,0.050632912665605545,0.049367088824510574,0.0,0.0
0.0,0.8,0.025316456332802773,0.024050632491707802,0.0,0.0
0.0,0.9,0.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0,0.0
0.1,0.0,0.0,0.0,0.0,0.0
0.1,0.1,0.4965212345123291,0.3973078727722168,0.3380756080150604,0.2680675983428955
0.1,0.2,0.4832930564880371,0.41416412591934204,0.2693179249763489,0.22203850746154785
0.1,0.30000000000000004,0.4052095115184784,0.33361324667930603,0.2836633622646332,0.2536468505859375
0.1,0.4,0.3692818582057953,0.2995905876159668,0.15016502141952515,0.12518151104450226
0.1,0.5,0.15515728294849396,0.1390274465084076,0.03333333507180214,0.029999999329447746
0.1,0.6000000000000001,0.06968291848897934,0.062087979167699814,0.03333333507180214,0.029999999329447746
0.1,0.7000000000000001,0.050632912665605545,0.049367088824510574,0.0,0.0
0.1,0.8,0.025316456332802773,0.024050632491707802,0.0,0.0
0.1,0.9,0.0,0.0,0.0,0.0
0.1,1.0,0.0,0.0,0.0,0.0
0.2,0.0,0.0,0.0,0.0,0.0
0.2,0.1,0.4444957673549652,0.37344175577163696,0.20349285006523132,0.1689576506614685
0.2,0.2,0.4832930564880371,0.41416412591934204,0.2693179249763489,0.22203850746154785
0.2,0.30000000000000004,0.4052095115184784,0.33361324667930603,0.2836633622646332,0.2536468505859375
0.2,0.4,0.3692818582057953,0.2995905876159668,0.15016502141952515,0.12518151104450226
0.2,0.5,0.15515728294849396,0.1390274465084076,0.03333333507180214,0.029999999329447746
0.2,0.6000000000000001,0.06968291848897934,0.062087979167699814,0.03333333507180214,0.029999999329447746
0.2,0.7000000000000001,0.050632912665605545,0.049367088824510574,0.0,0.0
0.2,0.8,0.025316456332802773,0.024050632491707802,0.0,0.0
0.2,0.9,0.0,0.0,0.0,0.0
0.2,1.0,0.0,0.0,0.0,0.0
0.30000000000000004,0.0,0.0,0.0,0.0,0.0
0.30000000000000004,0.1,0.3523475229740143,0.295211523771286,0.18366336822509766,0.15364687144756317
0.30000000000000004,0.2,0.4178677499294281,0.35513222217559814,0.2169966995716095,0.186980202794075
0.30000000000000004,0.30000000000000004,0.4052095115184784,0.33361324667930603,0.2836633622646332,0.2536468505859375
0.30000000000000004,0.4,0.3692818582057953,0.2995905876159668,0.15016502141952515,0.12518151104450226
0.30000000000000004,0.5,0.15515728294849396,0.1390274465084076,0.03333333507180214,0.029999999329447746
0.30000000000000004,0.6000000000000001,0.06968291848897934,0.062087979167699814,0.03333333507180214,0.029999999329447746
0.30000000000000004,0.7000000000000001,0.050632912665605545,0.049367088824510574,0.0,0.0
0.30000000000000004,0.8,0.025316456332802773,0.024050632491707802,0.0,0.0
0.30000000000000004,0.9,0.0,0.0,0.0,0.0
0.30000000000000004,1.0,0.0,0.0,0.0,0.0
0.4,0.0,0.0,0.0,0.0,0.0
0.4,0.1,0.28700339794158936,0.2369260936975479,0.15016502141952515,0.12518151104450226
0.4,0.2,0.35662364959716797,0.2957931160926819,0.15016502141952515,0.12518151104450226
0.4,0.30000000000000004,0.35662364959716797,0.2869323790073395,0.15016502141952515,0.12518151104450226
0.4,0.4,0.3692818582057953,0.2995905876159668,0.15016502141952515,0.12518151104450226
0.4,0.5,0.15515728294849396,0.1390274465084076,0.03333333507180214,0.029999999329447746
0.4,0.6000000000000001,0.06968291848897934,0.062087979167699814,0.03333333507180214,0.029999999329447746
0.4,0.7000000000000001,0.050632912665605545,0.049367088824510574,0.0,0.0
0.4,0.8,0.025316456332802773,0.024050632491707802,0.0,0.0
0.4,0.9,0.0,0.0,0.0,0.0
0.4,1.0,0.0,0.0,0.0,0.0
0.5,0.0,0.0,0.0,0.0,0.0
0.5,0.1,0.14889083802700043,0.13970422744750977,0.03333333507180214,0.029999999329447746
0.5,0.2,0.16781552135944366,0.15041984617710114,0.03333333507180214,0.029999999329447746
0.5,0.30000000000000004,0.16781552135944366,0.15041984617710114,0.03333333507180214,0.029999999329447746
0.5,0.4,0.16781552135944366,0.15041984617710114,0.03333333507180214,0.029999999329447746
0.5,0.5,0.15515728294849396,0.1390274465084076,0.03333333507180214,0.029999999329447746
0.5,0.6000000000000001,0.06968291848897934,0.062087979167699814,0.03333333507180214,0.029999999329447746
0.5,0.7000000000000001,0.050632912665605545,0.049367088824510574,0.0,0.0
0.5,0.8,0.025316456332802773,0.024050632491707802,0.0,0.0
0.5,0.9,0.0,0.0,0.0,0.0
0.5,1.0,0.0,0.0,0.0,0.0
0.6000000000000001,0.0,0.0,0.0,0.0,0.0
0.6000000000000001,0.1,0.10765760391950607,0.10132848471403122,0.03333333507180214,0.029999999329447746
0.6000000000000001,0.2,0.12031582742929459,0.10765760391950607,0.03333333507180214,0.029999999329447746
0.6000000000000001,0.30000000000000004,0.12031582742929459,0.10765760391950607,0.03333333507180214,0.029999999329447746
