object_threshold,text_threshold,map_50_val,mape_val,map_50_test,mape_test
0.3,0.3,0.4443069398403168,0.4515841916703986,0.3066112995147705,0.36328282828282826
0.31,0.3,0.4443069398403168,0.4112106284520078,0.3066112995147705,0.41542929292929287
0.31,0.31,0.4443069398403168,0.4112106284520078,0.3388693630695343,0.41542929292929287
0.32,0.3,0.4443069398403168,0.37844081206150176,0.3066112995147705,0.5529292929292929
0.32,0.31,0.4443069398403168,0.37844081206150176,0.3066112995147705,0.5529292929292929
0.32,0.32,0.4443069398403168,0.37844081206150176,0.3066112995147705,0.5529292929292929
0.33,0.3,0.43729373812675476,0.3315494849977609,0.3066112995147705,0.577929292929293
0.33,0.31,0.43729373812675476,0.3315494849977609,0.3066112995147705,0.577929292929293
0.33,0.32,0.43729373812675476,0.3315494849977609,0.3066112995147705,0.577929292929293
0.33,0.33,0.4362918436527252,0.3315494849977609,0.3066112995147705,0.577929292929293
0.34,0.3,0.435407817363739,0.3160732945215704,0.3066112995147705,0.5904292929292929
0.34,0.31,0.435407817363739,0.3160732945215704,0.3066112995147705,0.5904292929292929
0.34,0.32,0.435407817363739,0.3160732945215704,0.3066112995147705,0.5904292929292929
0.34,0.33,0.43440595269203186,0.3160732945215704,0.3066112995147705,0.5904292929292929
0.34,0.34,0.42851248383522034,0.3160732945215704,0.2743532359600067,0.5904292929292929
0.35000000000000003,0.3,0.41760963201522827,0.3404724585759069,0.258224219083786,0.5578535353535353
0.35000000000000003,0.31,0.41760963201522827,0.3404724585759069,0.258224219083786,0.5578535353535353
0.35000000000000003,0.32,0.41760963201522827,0.3404724585759069,0.258224219083786,0.5578535353535353
0.35000000000000003,0.33,0.41660773754119873,0.3404724585759069,0.258224219083786,0.5578535353535353
0.35000000000000003,0.34,0.41660773754119873,0.3404724585759069,0.22596614062786102,0.5578535353535353
0.35000000000000003,0.35000000000000003,0.41660773754119873,0.3404724585759069,0.19370807707309723,0.5578535353535353
